 objectId SherlockClass MJD_First MJD_Peak MJD_Last N_pre_g N_post_g slope_g slope_err_g Rsq_g N_pre_r N_post_r slope_r slope_err_r Rsq_r
39669 ZTF18abschej AGN 58361.90116900019 59079.96332179988 59542.67997690011 142 160 0.00267 5e-05 0.85112 151 133 0.0026 6e-05 0.88158
39683 ZTF18abudcmw AGN 58568.033460000064 59537.65890049981 60147.783194399904 233 115 0.00249 6e-05 0.89583 185 112 0.00197 6e-05 0.90296
39753 ZTF18aczpgwm AGN 58456.69191000005 58674.98421300016 60253.79074069997 7 157 0.00161 2e-05 0.86949 5 173 0.00184 2e-05 0.93383
39802 ZTF19aailpwl AGN 58495.028460000176 58712.73972220021 59292.89023149992 24 100 0.00355 6e-05 0.95735 53 97 0.00322 7e-05 0.95742
39991 ZTF19abfvkcf AGN 58647.97022000002 59839.77128469991 60254.69953700015 71 60 0.00311 8e-05 0.94831 47 48 0.00314 0.0001 0.91574
40070 ZTF19abvqwoq AGN 58907.016480000224 59780.755312500056 60145.74282409996 190 61 0.00269 0.0001 0.88848 180 52 0.00234 0.00012 0.88883
40254 ZTF20aaurfwa NT 58936.940309999976 59001.758807899896 59197.05648150016 13 40 0.01389 0.00081 0.97731 28 48 0.01135 0.0002 0.98368
41239 ZTF18acatyzh AGN 58400.75568290008 59773.93523149984 60238.74767359998 223 98 0.002 6e-05 0.92386 266 119 0.00236 7e-05 0.88376
42115 ZTF22aanwibf SN 59710.7670948999 59786.74295140011 60174.7269444 31 86 0.00981 0.00013 0.93732 29 142 0.00632 8e-05 0.90826
42414 ZTF18adopklt AGN 59739.91162039992 59739.94974539988 59937.6774420999 2 57 0.00411 0.00025 0.86698 0 60 0.00355 0.00022 0.87713
42483 ZTF19aartwnv AGN 58568.81094999984 59714.71071759984 60105.75018520001 61 36 0.00204 9e-05 0.94436 59 37 0.00206 0.00012 0.87705
43328 ZTF19aarqili AGN 58618.95777999982 59123.69076390006 59543.6237269002 106 83 0.00296 8e-05 0.8749 57 141 0.0024 5e-05 0.89701
43402 ZTF19abjmnlw NT 58667.93496999983 59849.668854199816 60254.6482406999 74 48 0.0039 0.0001 0.94727 74 43 0.00348 0.00011 0.93845
43776 ZTF23aadcbay SN 60016.95247690007 60016.95247690007 60255.638726899866 0 63 0.01241 0.00024 0.98492 0 65 0.01217 0.00022 0.98167
44099 ZTF20abkhtqx AGN 59040.87604170013 59790.87858799985 60262.67033560015 83 34 0.0023 0.00012 0.94825 55 54 0.00181 9e-05 0.90274
44745 ZTF19acjkokr AGN 59053.931919999886 59811.96821760014 60314.67512729997 69 65 0.00218 9e-05 0.89546 94 21 0.00281 0.00019 0.92592
44985 ZTF19abpvbzf SN 58684.94151999988 58740.85453699995 59172.64296300011 4 49 0.00431 9e-05 0.91736 4 52 0.00494 9e-05 0.96859
45589 ZTF19aamjenr AGN 58548.01583330007 59064.80614579981 60179.70768520003 172 391 0.00141 2e-05 0.8713 172 397 0.00135 2e-05 0.88199
